number,stop_name,can be rented num,time
0117,MRT Beitou Sta.,3,20180611025422
0115,Taipei Bus Sta.,18,20180611025419
0050,MinQuan Park,28,20180611025423
0202,MRT Guandu Sta.,30,20180611025441
0201,Dongyang Park,21,20180611025423
0208,Longshan Elementary School,24,20180611025436
0375,Ming Chuan University,20,20180611025426
0021,Minsheng & Dunhua Intersection,17,20180611025437
0026,MRT Kunyang Sta. (Exit 1),6,20180611025431
0097,MRT Jiantan Sta.(Exit 2),21,20180611025416
0094,MRT Jingmei Sta.,11,20180611025437
0288,Jinan & Shaosing Intersection,44,20180611025425
0210,Lequn 2nd & Jingye 4th Intersection,39,20180611025434
0215,MRT Beimen Sta. (Exit.3),48,20180611025436
0214,Jihe First Phase Republic Housing,27,20180611025443
0191,MRT Dahu Park Sta. (Exit 2),16,20180611025444
0098,Roosevelt & Jinglong Intersection,29,20180611025422
0090,Laosong Elementary School,24,20180611025441
0240,Nanjing Jianguo Intersection,16,20180611025433
0099,MRT Shuanglian Sta. (Exit 2),7,20180611025438
0313,Guang Hua Computer Market,21,20180611025422
0134,MRT Zhishan Sta.(Exit 2),16,20180611020230
0132,Roosevelt & Xinsheng S. Intersection,41,20180611025436
0036,NTU Information Bldg.,6,20180611025421
0030,Keelung & Changxing Intersection,49,20180611025427
0140,MRT Daqiaotou Sta. (Exit 2),11,20180611025431
0143,MRT Taipei Zoo Sta.(Exit 2),15,20180611025416
0142,MRT Muzha Sta.,26,20180611025424
0144,Natl Chengchi U.,40,20180611025435
0148,MRT Mingde Sta.,32,20180611025441
0275,Nishi Honganji Square,17,20180611025416
0170,XinDong Park,37,20180611025422
0175,MRT Nanjing Fuxing Sta. (Exit 5),17,20180611025429
0279,Nangang Rail Sta.(Xinhua Rd.),27,20180611025428
0186,University of Taipei,36,20180611025424
0188,Taipei Municipal Shezi Elementary School,30,20180611025416
0006,TWTC Exhibition Hall 2,0,20180401050501
0007,Xinyi Square(Taipei 101),30,20180611025441
0001,MRT Taipei City Hall Stataion(Exit 3)-2,90,20180611025437
0079,MRT Minquan W.Rd. Sta.(Exit 3),19,20180611025440
0078,MRT Yuanshan Sta. (Exit 2),6,20180611025440
0129,MRT Wende Sta. (Exit 2),27,20180611025443
0239,"Ln. 321, Xinming Rd.",23,20180611025433
0179,Nangang Park,31,20180611025443
0122,MRT Gangqian Sta. (Exit 2),23,20180611025430
0121,Longjiang & Nanjing Intersection,27,20180611025423
0120,MRT Longshan Temple Sta. (Exit. 1),8,20180611025429
0046,Nangang Elementary School,5,20180611025436
0176,Xingan Huacheng Community,77,20180611025438
0163,MRT Linguang Sta. (Exit 2),45,20180611025443
0162,MRT Zhongshan Elementary School sta.(Exit 4),56,20180611025416
0167,Taipei Astronomical Museum,15,20180611025439
0165,MRT Qilian Sta. (Exit 2),20,20180611025431
0164,MRT Qiyan Sta.,7,20180611025442
0015,Raohe Night Market,36,20180611025442
0011,Sanchangli,41,20180611025434
0088,MRT Xiangshan Sta.,11,20180611025420
0080,Huajiang High School,8,20180611025422
0082,MRT Ximen Sta.(Exit 3),12,20180611025428
0083,MRT Daan Park Sta.,15,20180611025416
